Enzyme 	KO 	D 	C 	B 	A 	
C34B7.3 cyp-36A1; CYtochrome P450 family member (cyp-36A1)	K00517 [EC:1.14.-.-] 	1.14.-.- 	1.14.-  Acting on paired donors, with O2 as oxidant and incorporation or reduction of oxygen. The oxygen incorporated need not be derived from O2 	1.14  Acting on paired donors, with O2 as oxidant and incorporation or reduction of oxygen. The oxygen incorporated need not be derived from O2 	<b>1. Oxidoreductases</b> 	
F02C12.5 cyp-13B1; CYtochrome P450 family member (cyp-13B1)	K00517 [EC:1.14.-.-] 	1.14.-.- 	1.14.-  Acting on paired donors, with O2 as oxidant and incorporation or reduction of oxygen. The oxygen incorporated need not be derived from O2 	1.14  Acting on paired donors, with O2 as oxidant and incorporation or reduction of oxygen. The oxygen incorporated need not be derived from O2 	<b>1. Oxidoreductases</b> 	
Y54E5A.1 hypothetical protein	K04712 sphingolipid delta-4 desaturase [EC:1.14.-.-] 	1.14.-.- 	1.14.-  Acting on paired donors, with O2 as oxidant and incorporation or reduction of oxygen. The oxygen incorporated need not be derived from O2 	1.14  Acting on paired donors, with O2 as oxidant and incorporation or reduction of oxygen. The oxygen incorporated need not be derived from O2 	<b>1. Oxidoreductases</b> 	
F33D4.4 hypothetical protein	K04712 sphingolipid delta-4 desaturase [EC:1.14.-.-] 	1.14.-.- 	1.14.-  Acting on paired donors, with O2 as oxidant and incorporation or reduction of oxygen. The oxygen incorporated need not be derived from O2 	1.14  Acting on paired donors, with O2 as oxidant and incorporation or reduction of oxygen. The oxygen incorporated need not be derived from O2 	<b>1. Oxidoreductases</b> 	
ZK430.3 sod-5; SOD (superoxide dismutase) family member (sod-5)	K00518 superoxide dismutase [EC:1.15.1.1] 	1.15.1.1  superoxide dismutase 	1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date) 	1.15  Acting on superoxide as acceptor 	<b>1. Oxidoreductases</b> 	
F10D11.1 sod-2; SOD (superoxide dismutase) family member (sod-2)	K04564 superoxide dismutase, Fe-Mn family [EC:1.15.1.1] 	1.15.1.1  superoxide dismutase 	1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date) 	1.15  Acting on superoxide as acceptor 	<b>1. Oxidoreductases</b> 	
C08A9.1 sod-3; SOD (superoxide dismutase) family member (sod-3)	K04564 superoxide dismutase, Fe-Mn family [EC:1.15.1.1] 	1.15.1.1  superoxide dismutase 	1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date) 	1.15  Acting on superoxide as acceptor 	<b>1. Oxidoreductases</b> 	
F55H2.1 sod-4; SOD (superoxide dismutase) family member (sod-4)	K04565 Cu/Zn superoxide dismutase [EC:1.15.1.1] 	1.15.1.1  superoxide dismutase 	1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date) 	1.15  Acting on superoxide as acceptor 	<b>1. Oxidoreductases</b> 	
C15F1.7 sod-1; SOD (superoxide dismutase) family member (sod-1)	K04565 Cu/Zn superoxide dismutase [EC:1.15.1.1] 	1.15.1.1  superoxide dismutase 	1.15.1  Acting on superoxide as acceptor (only sub-subclass identified to date) 	1.15  Acting on superoxide as acceptor 	<b>1. Oxidoreductases</b> 	
C01G6.6 tag-165; Temporarily Assigned Gene name family member (tag-165)	K00597 [methionine synthase] reductase [EC:1.16.1.8] 	1.16.1.8  [methionine synthase] reductase 	1.16.1  With NAD+ or NADP+ as acceptor 	1.16  Oxidizing metal ions 	<b>1. Oxidoreductases</b> 	
D1037.3 ftn-2; FerriTiN family member (ftn-2)	K00522 ferritin heavy chain [EC:1.16.3.1] 	1.16.3.1  ferroxidase 	1.16.3  With oxygen as acceptor 	1.16  Oxidizing metal ions 	<b>1. Oxidoreductases</b> 	
F55B11.1 hypothetical protein	K00106 xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2] 	1.17.1.4  xanthine dehydrogenase 	1.17.1  With NAD+ or NADP+ as acceptor 	1.17  Acting on CH or CH2 groups 	<b>1. Oxidoreductases</b> 	
F15E6.6 hypothetical protein	K00106 xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2] 	1.17.1.4  xanthine dehydrogenase 	1.17.1  With NAD+ or NADP+ as acceptor 	1.17  Acting on CH or CH2 groups 	<b>1. Oxidoreductases</b> 	
F55B11.1 hypothetical protein	K00106 xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2] 	1.17.3.2  xanthine oxidase 	1.17.3  With oxygen as acceptor 	1.17  Acting on CH or CH2 groups 	<b>1. Oxidoreductases</b> 	
F15E6.6 hypothetical protein	K00106 xanthine dehydrogenase/oxidase [EC:1.17.1.4 1.17.3.2] 	1.17.3.2  xanthine oxidase 	1.17.3  With oxygen as acceptor 	1.17  Acting on CH or CH2 groups 	<b>1. Oxidoreductases</b> 	
F19G12.2 hypothetical protein	K00526 ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1] 	1.17.4.1  ribonucleoside-diphosphate reductase 	1.17.4  With a disulfide as acceptor 	1.17  Acting on CH or CH2 groups 	<b>1. Oxidoreductases</b> 	
T23G5.1 rnr-1; RiboNucleotide Reductase family member (rnr-1)	K10807 ribonucleoside-diphosphate reductase subunit M1 [EC:1.17.4.1] 	1.17.4.1  ribonucleoside-diphosphate reductase 	1.17.4  With a disulfide as acceptor 	1.17  Acting on CH or CH2 groups 	<b>1. Oxidoreductases</b> 	
C03C10.3 rnr-2; RiboNucleotide Reductase family member (rnr-2)	K10808 ribonucleoside-diphosphate reductase subunit M2 [EC:1.17.4.1] 	1.17.4.1  ribonucleoside-diphosphate reductase 	1.17.4  With a disulfide as acceptor 	1.17  Acting on CH or CH2 groups 	<b>1. Oxidoreductases</b> 	
Y62E10A.6 hypothetical protein	K00528 ferredoxin--NADP+ reductase [EC:1.18.1.2] 	1.18.1.2  ferredoxin---NADP+ reductase 	1.18.1  With NAD+ or NADP+ as acceptor 	1.18  Acting on iron-sulfur proteins as donors 	<b>1. Oxidoreductases</b> 	
F21D5.3 hypothetical protein	K00540 [EC:1.-.-.-] 	1.-.-.- 	1.-.- 	1.- 	<b>1. Oxidoreductases</b> 	
T05C12.3 hypothetical protein	K00540 [EC:1.-.-.-] 	1.-.-.- 	1.-.- 	1.- 	<b>1. Oxidoreductases</b> 	
W01C9.4 hypothetical protein	K00540 [EC:1.-.-.-] 	1.-.-.- 	1.-.- 	1.- 	<b>1. Oxidoreductases</b> 	
ZK1290.5 hypothetical protein	K00540 [EC:1.-.-.-] 	1.-.-.- 	1.-.- 	1.- 	<b>1. Oxidoreductases</b> 	
F56D1.5 dhs-5; DeHydrogenases, Short chain family member (dhs-5)	K00540 [EC:1.-.-.-] 	1.-.-.- 	1.-.- 	1.- 	<b>1. Oxidoreductases</b> 	
Y56A3A.32 wah-1; Worm AIF (apoptosis inducing factor) Homolog family member (wah-1)	K04727 programmed cell death 8 (apoptosis-inducing factor) [EC:1.-.-.-] 	1.-.-.- 	1.-.- 	1.- 	<b>1. Oxidoreductases</b> 	
T08D10.2 lsd-1; Lysine-Specific histone Demethylase homolog family member (lsd-1)	K11450 lysine-specific histone demethylase 1 [EC:1.-.-.-] 	1.-.-.- 	1.-.- 	1.- 	<b>1. Oxidoreductases</b> 	
Y40B1B.6 spr-5; Suppressor of PResenilin defect family member (spr-5)	K11450 lysine-specific histone demethylase 1 [EC:1.-.-.-] 	1.-.-.- 	1.-.- 	1.- 	<b>1. Oxidoreductases</b> 	
R03D7.1 hypothetical protein	K00548 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13] 	2.1.1.13  methionine synthase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
W02B12.10 hypothetical protein	K03439 tRNA (guanine-N7-)-methyltransferase [EC:2.1.1.33] 	2.1.1.33  tRNA (guanine46-N7)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
T12F5.4 lin-59; abnormal cell LINeage family member (lin-59)	K06101 histone-lysine N-methyltransferase ASH1L [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
T12D8.1 set-16; SET (trithorax/polycomb) domain containing family member (set-16)	K09188 histone-lysine N-methyltransferase MLL3 [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
R05D3.11 met-2; histone METhyltransferase-like family member (met-2)	K11421 histone-lysine N-methyltransferase SETDB [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C26E6.9 set-2; SET (trithorax/polycomb) domain containing family member (set-2)	K11422 histone-lysine N-methyltransferase SETD1 [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y39G10AR.18 hypothetical protein	K11427 histone-lysine N-methyltransferase, H3 lysine-79 specific [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
F54F7.7 hypothetical protein	K11427 histone-lysine N-methyltransferase, H3 lysine-79 specific [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
F55G7.2 hypothetical protein	K11427 histone-lysine N-methyltransferase, H3 lysine-79 specific [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
W06D11.4 hypothetical protein	K11427 histone-lysine N-methyltransferase, H3 lysine-79 specific [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
T26A5.7 set-1; SET (trithorax/polycomb) domain containing family member (set-1)	K11428 histone-lysine N-methyltransferase SETD8 [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C32D5.5 set-4; SET (trithorax/polycomb) domain containing family member (set-4)	K11429 histone-lysine N-methyltransferase SUV420H [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y41D4B.12 set-23; SET (trithorax/polycomb) domain containing family member (set-23)	K11433 histone-lysine N-methyltransferase SETMAR [EC:2.1.1.43] 	2.1.1.43  histone-lysine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y110A7A.4 hypothetical protein	K00560 thymidylate synthase [EC:2.1.1.45] 	2.1.1.45  thymidylate synthase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C25A1.3 tag-72; Temporarily Assigned Gene name family member (tag-72)	K00565 mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56] 	2.1.1.56  mRNA (guanine-N7)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y53F4B.13 hypothetical protein	K14589 cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 [EC:2.1.1.57] 	2.1.1.57  mRNA (nucleoside-2'-O)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y62E10A.5 agt-1; AlkylGuanine DNA alkylTransferase family member (agt-1)	K00567 methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63] 	2.1.1.63  methylated-DNA---[protein]-cysteine S-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C10F3.5 pcm-1; Protein Carboxymethyltransferase family member (pcm-1)	K00573 protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77] 	2.1.1.77  protein-L-isoaspartate(D-aspartate) O-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
B0491.7 hypothetical protein	K00586 diphthine synthase [EC:2.1.1.98] 	2.1.1.98  diphthine synthase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
F21F3.3 hypothetical protein	K00587 protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100] 	2.1.1.100  protein-S-isoprenylcysteine O-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
M01E11.1 hypothetical protein	K00587 protein-S-isoprenylcysteine O-methyltransferase [EC:2.1.1.100] 	2.1.1.100  protein-S-isoprenylcysteine O-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y57G11C.11 coq-3; COenzyme Q (ubiquinone) biosynthesis family member (coq-3)	K00591 hexaprenyldihydroxybenzoate methyltransferase [EC:2.1.1.114] 	2.1.1.114  polyprenyldihydroxybenzoate methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C34E10.5 prmt-5; PRotein arginine MethylTransferase family member (prmt-5)	K02516 protein arginine N-methyltransferase 5 [EC:2.1.1.125] 	2.1.1.125  histone-arginine N-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
F45G2.9 hypothetical protein	K02427 23S rRNA (uridine2552-2'-O)-methyltransferase [EC:2.1.1.166] 	2.1.1.166  23S rRNA (uridine2552-2'-O)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
E02H1.1 hypothetical protein	K14191 18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase [EC:2.1.1.183] 	2.1.1.183  18S rRNA (adenine1779-N6/adenine1780-N6)-dimethyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
ZK652.9 coq-5; COenzyme Q (ubiquinone) biosynthesis family member (coq-5)	K06127 ubiquinone biosynthesis methyltransferase [EC:2.1.1.201] 	2.1.1.201  2-methoxy-6-polyprenyl-1,4-benzoquinol methylase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y48G8AL.5 hypothetical protein	K15335 tRNA (cytosine34-C5)-methyltransferase [EC:2.1.1.203] 	2.1.1.203  tRNA (cytosine34-C5)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
R74.7 hypothetical protein	K14864 tRNA (cytidine32/guanosine34-2'-O)-methyltransferase [EC:2.1.1.205] 	2.1.1.205  tRNA (cytidine32/guanosine34-2'-O)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y71F9AL.1 hypothetical protein	K15430 tRNA (guanine10-N2)-methyltransferase [EC:2.1.1.214] 	2.1.1.214  tRNA (guanine10-N2)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
ZC376.5 trm-1; TRNA Methylase family member (trm-1)	K00555 tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216] 	2.1.1.215  tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
ZC376.5 trm-1; TRNA Methylase family member (trm-1)	K00555 tRNA (guanine26-N2/guanine27-N2)-dimethyltransferase [EC:2.1.1.215 2.1.1.216] 	2.1.1.216  tRNA (guanine26-N2)-dimethyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
W02A11.1 hypothetical protein	K07442 tRNA (adenine57-N1/adenine58-N1)-methyltransferase [EC:2.1.1.219 2.1.1.220] 	2.1.1.219  tRNA (adenine57-N1/adenine58-N1)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
W02A11.1 hypothetical protein	K07442 tRNA (adenine57-N1/adenine58-N1)-methyltransferase [EC:2.1.1.219 2.1.1.220] 	2.1.1.220  tRNA (adenine58-N1)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
F25H8.1 hypothetical protein	K15445 tRNA (guanine9-N1)-methyltransferase [EC:2.1.1.221] 	2.1.1.221  tRNA (guanine9-N1)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C53A5.2 hypothetical protein	K15429 tRNA (guanine37-N1)-methyltransferase [EC:2.1.1.228] 	2.1.1.228  tRNA (guanine37-N1)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C14B1.10 hypothetical protein	K10770 alkylated DNA repair protein alkB homolog 8 [EC:1.14.11.- 2.1.1.229] 	2.1.1.229  tRNA (carboxymethyluridine34-5-O)-methyltransferase 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
ZK1058.5 hypothetical protein	K00599 [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
F40F9.10 hypothetical protein	K07055 tRNA wybutosine-synthesizing protein 2 [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
ZK1128.2 hypothetical protein	K11393 methyltransferase [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y113G7B.17 hypothetical protein	K11434 protein arginine N-methyltransferase 1 [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
W06D4.4 hypothetical protein	K11438 protein arginine N-methyltransferase 7 [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
T08G11.4 hypothetical protein	K14292 trimethylguanosine synthase [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
T01C3.7 fib-1; FIBrillarin family member (fib-1)	K14563 rRNA 2'-O-methyltransferase fibrillarin [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y40D12A.1 hypothetical protein	K14590 FtsJ methyltransferase domain-containing protein 1 [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
W07E6.1 nol-1; NucleOLar protein family member (nol-1)	K14835 ribosomal RNA methyltransferase Nop2 [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
T07A9.8 hypothetical protein	K14850 ribosomal RNA-processing protein 8 [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
H06I04.3 hypothetical protein	K14857 AdoMet-dependent rRNA methyltransferase SPB1 [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y17G7B.18 hypothetical protein	K15190 7SK snRNA methylphosphate capping enzyme [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y53F4B.4 hypothetical protein	K15264 putative methyltransferase [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y49A3A.3 hypothetical protein	K15446 tRNA guanosine-2'-O-methyltransferase TRM13 [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C23G10.7 hypothetical protein	K15447 tRNA (uracil-O(2)-)-methyltransferase [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
Y45F3A.9 hypothetical protein	K15507 21S rRNA (GM2251-2'-O)-methyltransferase [EC:2.1.1.-] 	2.1.1.- 	2.1.1  Methyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C05D11.11 mel-32; Maternal Effect Lethal family member (mel-32)	K00600 glycine hydroxymethyltransferase [EC:2.1.2.1] 	2.1.2.1  glycine hydroxymethyltransferase 	2.1.2  Hydroxymethyl-, formyl- and related transferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
F38B6.4 GARS\/AIRS\, GART; hypothetical protein	K11787 phosphoribosylamine--glycine ligase / phosphoribosylglycinamide formyltransferase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 2.1.2.2 6.3.3.1] 	2.1.2.2  phosphoribosylglycinamide formyltransferase 	2.1.2  Hydroxymethyl-, formyl- and related transferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
C55F2.1 hypothetical protein	K00602 phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase [EC:2.1.2.3 3.5.4.10] 	2.1.2.3  phosphoribosylaminoimidazolecarboxamide formyltransferase 	2.1.2  Hydroxymethyl-, formyl- and related transferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
F25B4.1 hypothetical protein	K00605 aminomethyltransferase [EC:2.1.2.10] 	2.1.2.10  aminomethyltransferase 	2.1.2  Hydroxymethyl-, formyl- and related transferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
D2085.1 pyr-1; PYRimidine biosynthesis family member (pyr-1)	K11540 carbamoyl-phosphate synthase / aspartate carbamoyltransferase / dihydroorotase [EC:6.3.5.5 2.1.3.2 3.5.2.3] 	2.1.3.2  aspartate carbamoyltransferase 	2.1.3  Carboxy- and carbamoyltransferases 	2.1  Transferring one-carbon groups 	<b>2. Transferases</b> 	
F01G10.1 hypothetical protein	K00615 transketolase [EC:2.2.1.1] 	2.2.1.1  transketolase 	2.2.1  Transketolases and transaldolases 	2.2  Transferring aldehyde or ketonic groups 	<b>2. Transferases</b> 	
Y24D9A.8 hypothetical protein	K00616 transaldolase [EC:2.2.1.2] 	2.2.1.2  transaldolase 	2.2.1  Transketolases and transaldolases 	2.2  Transferring aldehyde or ketonic groups 	<b>2. Transferases</b> 	
B0024.12 gna-1; Glucosamine phosphate N-Acetyl transferase family member (gna-1)	K00621 glucosamine-phosphate N-acetyltransferase [EC:2.3.1.4] 	2.3.1.4  glucosamine-phosphate N-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
ZC416.8 unc-17; UNCoordinated family member (unc-17)	K00623 choline O-acetyltransferase [EC:2.3.1.6] 	2.3.1.6  choline O-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
B0395.3 hypothetical protein	K00624 carnitine O-acetyltransferase [EC:2.3.1.7] 	2.3.1.7  carnitine O-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T02G5.4 hypothetical protein	K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 	2.3.1.9  acetyl-CoA C-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T02G5.7 hypothetical protein	K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 	2.3.1.9  acetyl-CoA C-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
T02G5.8 kat-1; 3-Ketoacyl-coA Thiolase family member (kat-1)	K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 	2.3.1.9  acetyl-CoA C-acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
C30H6.7 hypothetical protein	K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] 	2.3.1.12  dihydrolipoyllysine-residue acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F23B12.5 hypothetical protein	K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12] 	2.3.1.12  dihydrolipoyllysine-residue acetyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F08F3.2 acl-6; ACyLtransferase-like family member (acl-6)	K00629 glycerol-3-phosphate O-acyltransferase 1/2 [EC:2.3.1.15] 	2.3.1.15  glycerol-3-phosphate 1-O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
R07E3.5 acl-5; ACyLtransferase-like family member (acl-5)	K13506 glycerol-3-phosphate O-acyltransferase 3/4 [EC:2.3.1.15] 	2.3.1.15  glycerol-3-phosphate 1-O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F49H12.6 acl-4; ACyLtransferase-like family member (acl-4)	K13506 glycerol-3-phosphate O-acyltransferase 3/4 [EC:2.3.1.15] 	2.3.1.15  glycerol-3-phosphate 1-O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
F53A2.7 hypothetical protein	K07508 acetyl-CoA acyltransferase 2 [EC:2.3.1.16] 	2.3.1.16  acetyl-CoA C-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
B0303.3 hypothetical protein	K07509 acetyl-CoA acyltransferase [EC:2.3.1.16] 	2.3.1.16  acetyl-CoA C-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
H19N07.4 hypothetical protein	K11155 diacylglycerol O-acyltransferase 1 [EC:2.3.1.20 2.3.1.75 2.3.1.76] 	2.3.1.20  diacylglycerol O-acyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
Y46G5A.17 cpt-1; Carnitine Palmitoyl Transferase family member (cpt-1)	K08765 carnitine O-palmitoyltransferase 1 [EC:2.3.1.21] 	2.3.1.21  carnitine O-palmitoyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
R07H5.2 cpt-2; Carnitine Palmitoyl Transferase family member (cpt-2)	K08766 carnitine O-palmitoyltransferase 2 [EC:2.3.1.21] 	2.3.1.21  carnitine O-palmitoyltransferase 	2.3.1  Transferring groups other than aminoacyl groups 	2.3  Acyltransferases 	<b>2. Transferases</b> 	
