GENES 	KO 	C 	B 	A 	
F55G1.9 hypothetical protein	K00286 pyrroline-5-carboxylate reductase [EC:1.5.1.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
B0513.5 hypothetical protein	K00318 proline dehydrogenase [EC:1.5.99.8] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F56D12.1 alh-6; ALdehyde deHydrogenase family member (alh-6)	K00294 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.1.12] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T22H6.2 hypothetical protein	K12657 delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y47D3B.10 dpy-18; DumPY : shorter than wild-type family member (dpy-18)	K00472 prolyl 4-hydroxylase [EC:1.14.11.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F35G2.4 phy-2; Proline HYdroxylase family member (phy-2)	K00472 prolyl 4-hydroxylase [EC:1.14.11.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T01C8.5 hypothetical protein	K14454 aspartate aminotransferase, cytoplasmic [EC:2.6.1.1] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C14E2.2 hypothetical protein	K14454 aspartate aminotransferase, cytoplasmic [EC:2.6.1.1] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C14F11.1 hypothetical protein	K14455 aspartate aminotransferase, mitochondrial [EC:2.6.1.1] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C44E4.3 hypothetical protein	K14455 aspartate aminotransferase, mitochondrial [EC:2.6.1.1] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y69A2AR.5 hypothetical protein	K00273 D-amino-acid oxidase [EC:1.4.3.3] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
DH11.1 hypothetical protein	K01425 glutaminase [EC:3.5.1.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F30F8.2 hypothetical protein	K01425 glutaminase [EC:3.5.1.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C09F9.3 hypothetical protein	K01425 glutaminase [EC:3.5.1.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C28D4.3 gln-6; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-6)	K01915 glutamine synthetase [EC:6.3.1.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F26D10.10 gln-5; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-5)	K01915 glutamine synthetase [EC:6.3.1.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K03H1.1 gln-2; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-2)	K01915 glutamine synthetase [EC:6.3.1.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y105C5B.28 gln-3; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-3)	K01915 glutamine synthetase [EC:6.3.1.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C45B2.5 gln-1; GLutamiNe synthetase (glutamate-ammonia ligase) family member (gln-1)	K01915 glutamine synthetase [EC:6.3.1.2] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
ZK829.4 hypothetical protein	K00261 glutamate dehydrogenase (NAD(P)+) [EC:1.4.1.3] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C10C5.5 hypothetical protein	K14677 aminoacylase [EC:3.5.1.14] 	00330 Arginine and proline metabolism [PATH:cel00330] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F47B10.2 hypothetical protein	K01745 histidine ammonia-lyase [EC:4.3.1.3] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y51H4A.7 hypothetical protein	K01712 urocanate hydratase [EC:4.2.1.49] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
ZK829.2 hdl-1; Histidine Decarboxyase Like family member (hdl-1)	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C05D2.3 hypothetical protein	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K01C8.3 tdc-1; Tyrosine DeCarboxylase family member (tdc-1)	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K04F1.15 alh-2; ALdehyde deHydrogenase family member (alh-2)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F54D8.3 alh-1; ALdehyde deHydrogenase family member (alh-1)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T05H4.13 alh-4; ALdehyde deHydrogenase family member (alh-4)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F01F1.6 alh-9; ALdehyde deHydrogenase family member (alh-9)	K14085 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y69F12A.2 alh-12; ALdehyde deHydrogenase family member (alh-12)	K00149 aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T08B1.3 alh-5; ALdehyde deHydrogenase family member (alh-5)	K00129 aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
ZK1058.5 hypothetical protein	K00599 [EC:2.1.1.-] 	00340 Histidine metabolism [PATH:cel00340] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T01C8.5 hypothetical protein	K14454 aspartate aminotransferase, cytoplasmic [EC:2.6.1.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C14E2.2 hypothetical protein	K14454 aspartate aminotransferase, cytoplasmic [EC:2.6.1.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C14F11.1 hypothetical protein	K14455 aspartate aminotransferase, mitochondrial [EC:2.6.1.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C44E4.3 hypothetical protein	K14455 aspartate aminotransferase, mitochondrial [EC:2.6.1.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F42D1.2 hypothetical protein	K00815 tyrosine aminotransferase [EC:2.6.1.5] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T21C12.2 hpd-1; 4-HydroxyPhenylpyruvate Dioxygenase (HPD) family member (hpd-1)	K00457 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
W06D4.1 hgo-1; HomoGentisate Oxidase family member (hgo-1)	K00451 homogentisate 1,2-dioxygenase [EC:1.13.11.5] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y53G8B.1 hypothetical protein	K01800 maleylacetoacetate isomerase [EC:5.2.1.2] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
D1053.1 gst-42; Glutathione S-Transferase family member (gst-42)	K01800 maleylacetoacetate isomerase [EC:5.2.1.2] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K10C2.4 hypothetical protein	K01555 fumarylacetoacetase [EC:3.7.1.2] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C34G6.2 tyr-4; TYRosinase family member (tyr-4)	K00505 tyrosinase [EC:1.14.18.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
ZK829.2 hdl-1; Histidine Decarboxyase Like family member (hdl-1)	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C05D2.3 hypothetical protein	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K01C8.3 tdc-1; Tyrosine DeCarboxylase family member (tdc-1)	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
H13N06.6 tbh-1; Tyramine Beta Hydroxylase family member (tbh-1)	K00503 dopamine beta-monooxygenase [EC:1.14.17.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T08B1.3 alh-5; ALdehyde deHydrogenase family member (alh-5)	K00129 aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
H24K24.3 hypothetical protein	K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
D2063.1 hypothetical protein	K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K12G11.4 sodh-2; SOrbitol DeHydrogenase family member (sodh-2)	K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K12G11.3 sodh-1; SOrbitol DeHydrogenase family member (sodh-1)	K13953 alcohol dehydrogenase, propanol-preferring [EC:1.1.1.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
ZK1058.5 hypothetical protein	K00599 [EC:2.1.1.-] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y56A3A.3 mif-1; MIF (macrophage migration inhibitory factor) related family member (mif-1)	K07253 phenylpyruvate tautomerase [EC:5.3.2.1] 	00350 Tyrosine metabolism [PATH:cel00350] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K08F8.4 pah-1; PhenylAlanine Hydroxylase family member (pah-1)	K00500 phenylalanine-4-hydroxylase [EC:1.14.16.1] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
ZK829.2 hdl-1; Histidine Decarboxyase Like family member (hdl-1)	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C05D2.3 hypothetical protein	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K01C8.3 tdc-1; Tyrosine DeCarboxylase family member (tdc-1)	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T08B1.3 alh-5; ALdehyde deHydrogenase family member (alh-5)	K00129 aldehyde dehydrogenase (NAD(P)+) [EC:1.2.1.5] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T01C8.5 hypothetical protein	K14454 aspartate aminotransferase, cytoplasmic [EC:2.6.1.1] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C14E2.2 hypothetical protein	K14454 aspartate aminotransferase, cytoplasmic [EC:2.6.1.1] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C14F11.1 hypothetical protein	K14455 aspartate aminotransferase, mitochondrial [EC:2.6.1.1] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C44E4.3 hypothetical protein	K14455 aspartate aminotransferase, mitochondrial [EC:2.6.1.1] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F42D1.2 hypothetical protein	K00815 tyrosine aminotransferase [EC:2.6.1.5] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T21C12.2 hpd-1; 4-HydroxyPhenylpyruvate Dioxygenase (HPD) family member (hpd-1)	K00457 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y56A3A.3 mif-1; MIF (macrophage migration inhibitory factor) related family member (mif-1)	K07253 phenylpyruvate tautomerase [EC:5.3.2.1] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F09F3.5 hypothetical protein	K00430 peroxidase [EC:1.11.1.7] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
ZK1127.2 hypothetical protein	K01904 4-coumarate--CoA ligase [EC:6.2.1.12] 	00360 Phenylalanine metabolism [PATH:cel00360] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C28H8.11 hypothetical protein	K00453 tryptophan 2,3-dioxygenase [EC:1.13.11.11] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
R07B7.5 hypothetical protein	K00486 kynurenine 3-monooxygenase [EC:1.14.13.9] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C15H9.7 hypothetical protein	K01556 kynureninase [EC:3.7.1.3] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K06A4.5 hypothetical protein	K00452 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y71D11A.3 hypothetical protein	K03392 aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T22B11.5 hypothetical protein	K00164 2-oxoglutarate dehydrogenase E1 component [EC:1.2.4.2] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F54D5.7 hypothetical protein	K00252 glutaryl-CoA dehydrogenase [EC:1.3.99.7] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T08B2.7 hypothetical protein	K07515 enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C29F3.1 ech-1; Enoyl-CoA Hydratase family member (ech-1)	K07515 enoyl-CoA hydratase / long-chain 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.211] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T05G5.6 ech-6; Enoyl-CoA Hydratase family member (ech-6)	K07511 enoyl-CoA hydratase [EC:4.2.1.17] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
B0272.3 hypothetical protein	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F01G10.2 ech-8; Enoyl-CoA Hydratase family member (ech-8)	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F01G10.3 ech-9; Enoyl-CoA Hydratase family member (ech-9)	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
R09B5.6 hacd-1; Hydroxy-Acyl-CoA Dehydrogenase family member (hacd-1)	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F54C8.1 hypothetical protein	K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T02G5.4 hypothetical protein	K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T02G5.7 hypothetical protein	K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T02G5.8 kat-1; 3-Ketoacyl-coA Thiolase family member (kat-1)	K00626 acetyl-CoA C-acetyltransferase [EC:2.3.1.9] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
R03A10.4 nkat-3; Nematode Kynurenine AminoTransferase family member (nkat-3)	K00816 kynurenine---oxoglutarate transaminase / cysteine-S-conjugate beta-lyase / glutamine---phenylpyruvate transaminase [EC:2.6.1.7 4.4.1.13 2.6.1.64] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
ZK829.2 hdl-1; Histidine Decarboxyase Like family member (hdl-1)	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C05D2.3 hypothetical protein	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K01C8.3 tdc-1; Tyrosine DeCarboxylase family member (tdc-1)	K01593 aromatic-L-amino-acid decarboxylase [EC:4.1.1.28] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K04F1.15 alh-2; ALdehyde deHydrogenase family member (alh-2)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F54D8.3 alh-1; ALdehyde deHydrogenase family member (alh-1)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T05H4.13 alh-4; ALdehyde deHydrogenase family member (alh-4)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F01F1.6 alh-9; ALdehyde deHydrogenase family member (alh-9)	K14085 aldehyde dehydrogenase family 7 member A1 [EC:1.2.1.31 1.2.1.8 1.2.1.3] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y69F12A.2 alh-12; ALdehyde deHydrogenase family member (alh-12)	K00149 aldehyde dehydrogenase family 9 member A1 [EC:1.2.1.47 1.2.1.3] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C49C8.4 cyp-33E1; CYtochrome P450 family member (cyp-33E1)	K00493 unspecific monooxygenase [EC:1.14.14.1] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F42A9.5 cyp-33E2; CYtochrome P450 family member (cyp-33E2)	K00493 unspecific monooxygenase [EC:1.14.14.1] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
R08F11.3 cyp-33C8; CYtochrome P450 family member (cyp-33C8)	K00493 unspecific monooxygenase [EC:1.14.14.1] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y49C4A.9 cyp-33C11; CYtochrome P450 family member (cyp-33C11)	K00493 unspecific monooxygenase [EC:1.14.14.1] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
ZK1058.6 nit-1; NITrilase family member (nit-1)	K01501 nitrilase [EC:3.5.5.1] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y54G11A.13 ctl-3; CaTaLase family member (ctl-3)	K03781 catalase [EC:1.11.1.6] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y54G11A.5 ctl-2; CaTaLase family member (ctl-2)	K03781 catalase [EC:1.11.1.6] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y54G11A.6 ctl-1; CaTaLase family member (ctl-1)	K03781 catalase [EC:1.11.1.6] 	00380 Tryptophan metabolism [PATH:cel00380] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
T01C8.5 hypothetical protein	K14454 aspartate aminotransferase, cytoplasmic [EC:2.6.1.1] 	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:cel00400] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C14E2.2 hypothetical protein	K14454 aspartate aminotransferase, cytoplasmic [EC:2.6.1.1] 	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:cel00400] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C14F11.1 hypothetical protein	K14455 aspartate aminotransferase, mitochondrial [EC:2.6.1.1] 	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:cel00400] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
C44E4.3 hypothetical protein	K14455 aspartate aminotransferase, mitochondrial [EC:2.6.1.1] 	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:cel00400] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
F42D1.2 hypothetical protein	K00815 tyrosine aminotransferase [EC:2.6.1.5] 	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:cel00400] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
K08F8.4 pah-1; PhenylAlanine Hydroxylase family member (pah-1)	K00500 phenylalanine-4-hydroxylase [EC:1.14.16.1] 	00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:cel00400] 	<b>Amino Acid Metabolism</b> 	<b>Metabolism</b> 	
Y37D8A.23 unc-25; UNCoordinated family member (unc-25)	K01580 glutamate decarboxylase [EC:4.1.1.15] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
K04D7.3 gta-1; GABA TransAminase family member (gta-1)	K13524 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase [EC:2.6.1.19 2.6.1.22] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
Y46G5A.19 hypothetical protein	K00797 spermidine synthase [EC:2.5.1.16] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
K04F1.15 alh-2; ALdehyde deHydrogenase family member (alh-2)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
F54D8.3 alh-1; ALdehyde deHydrogenase family member (alh-1)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
T05H4.13 alh-4; ALdehyde deHydrogenase family member (alh-4)	K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3] 	00410 beta-Alanine metabolism [PATH:cel00410] 	<b>Metabolism of Other Amino Acids</b> 	<b>Metabolism</b> 	
